Match No,TEAMS,TOSS,CHOOSE_TO,GROUND,First_half_score,Second_half_score,RESULT (won_by),Super_over,MOM,Date
1,CSK vs MI,CSK,BOWL,Sheikh Zayed,162/9,166/5,CSK,0,Ambati Rayudu,19-09-2020
2,DC vs KXIP,KXIP,BOWL,Dubai,157/8,157/8,DC,1,Marcus Stoinis,20-09-2020
3,RCB vs SRH,SRH,BOWL,Dubai,163/5,153/10,RCB,0,Y Chahal,21-09-2020
4,RR vs CSK,CSK,BOWL,Sharjah,216/7,200/6,RR,0,Sanju Samson,22-09-2020
5,MI vs KKR,KKR,BOWL,Sheikh Zayed,195/5,146/9,MI,0,Rohit Sharma,23-09-2020
6,KXIP vs RCB,RCB,BOWL,Dubai,206/3,109/10,KXIP,0,KL Rahul,24-09-2020
7,DC vs CSK,CSK,BOWL,Dubai,175/3,131/7,DC,0,Prithvi Shaw,25-09-2020
8,SRH vs KKR,SRH,BAT,Sheikh Zayed,142/4,145/3,KKR,0,Shubman Gill,26-09-2020
9,KXIP vs RR,RR,BOWL,Sharjah,223/2,226/6,RR,0,Sanju Samson,27-09-2020
10,MI vs RCB,MI,BOWL,Dubai,201/3,201/5,RCB,1,AB de Villiers,28-09-2020
11,SRH vs DC,DC,BOWL,Sheikh Zayed,162/4,147/7,SRH,0,Rashid Khan,29-09-2020
12,KKR vs RR,RR,BOWL,Dubai,174/6,137/9,KKR,0,Shivam Mavi,30-09-2020
13,MI vs KXIP,KXIP,BOWL,Sheikh Zayed,191/4,143/8,MI,0,Rohit Sharma,01-10-2020
14,CSK vs SRH,SRH,BAT,Dubai,164/5,157/5,SRH,0,Priyam Garg,02-10-2020
15,RCB vs RR,RR,BAT,Sheikh Zayed,154/6,158/2,RCB,0,Y Chahal,03-10-2020
16,DC vs KKR,KKR,BOWL,Sharjah,228/4,210/8,DC,0,Shreyas Iyer,03-10-2020
17,MI vs SRH,MI,BAT,Sharjah,208/5,174/7,MI,0,Boult,04-10-2020
18,KXIP vs CSK,KXIP,BAT,Dubai,178/4,181/0,CSK,0,Watson,04-10-2020
19,DC vs RCB,RCB,BOWL,Dubai,196/4,137/9,DC,0,Axar Patel,05-10-2020
20,MI v RR,MI,BAT,Sheikh Zayed,193/4,136/10,MI,0,Suryakumar Yadav,06-10-2020
21,KKR vs CSK,KKR,BAT,Sheikh Zayed,167/10,157/5,KKR,0,Rahul Tripathi,07-10-2020
22,SRH vs KXIP,SRH,BAT,Dubai,201/6,132/10,SRH,0,Bairstow,08-10-2020
